2023-09-20 16:43:45 status installed libreadline8:amd64 8.2-1.3
2023-09-20 16:43:45 remove libreadline8:amd64 8.2-1.3 <none>
2023-09-20 16:43:45 status half-configured libreadline8:amd64 8.2-1.3
2023-09-20 16:43:45 status half-installed libreadline8:amd64 8.2-1.3
2023-09-20 16:43:45 status config-files libreadline8:amd64 8.2-1.3
2023-09-20 16:43:45 status not-installed libreadline8:amd64 <none>
2023-09-20 16:43:45 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-09-20 16:43:45 remove librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2023-09-20 16:43:45 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-09-20 16:43:45 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-09-20 16:43:45 status config-files librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2023-09-20 16:43:45 status not-installed librtmp1:amd64 <none>
2023-09-20 16:43:45 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 remove libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2023-09-20 16:43:45 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 status config-files libsasl2-2:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 status not-installed libsasl2-2:amd64 <none>
2023-09-20 16:43:45 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 remove libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2023-09-20 16:43:45 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 status config-files libsasl2-modules-db:amd64 2.1.28+dfsg-10
2023-09-20 16:43:45 status not-installed libsasl2-modules-db:amd64 <none>
2023-09-20 16:43:45 status installed libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:45 remove libssh2-1:amd64 1.10.0-3+b1 <none>
2023-09-20 16:43:45 status half-configured libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:45 status half-installed libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:45 status config-files libssh2-1:amd64 1.10.0-3+b1
2023-09-20 16:43:45 status not-installed libssh2-1:amd64 <none>
2023-09-20 16:43:45 status installed readline-common:all 8.2-1.3
2023-09-20 16:43:45 remove readline-common:all 8.2-1.3 <none>
2023-09-20 16:43:45 status half-configured readline-common:all 8.2-1.3
2023-09-20 16:43:45 status half-installed readline-common:all 8.2-1.3
2023-09-20 16:43:45 status config-files readline-common:all 8.2-1.3
2023-09-20 16:43:45 startup packages configure
2023-09-20 16:43:45 trigproc libc-bin:amd64 2.36-9+deb12u1 <none>
2023-09-20 16:43:45 status half-configured libc-bin:amd64 2.36-9+deb12u1
2023-09-20 16:43:45 status installed libc-bin:amd64 2.36-9+deb12u1
2023-09-20 16:43:45 startup packages purge
2023-09-20 16:43:45 purge libgssapi-krb5-2:amd64 1.20.1-2 <none>
2023-09-20 16:43:45 status config-files libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:45 status not-installed libgssapi-krb5-2:amd64 <none>
2023-09-20 16:43:45 purge readline-common:all 8.2-1.3 <none>
2023-09-20 16:43:45 status config-files readline-common:all 8.2-1.3
